ENSEMBL_RNOR,Symbol
ENSRNOG00000048136,AABR07001435.2
ENSRNOG00000017412,AABR07001512.1
ENSRNOG00000056478,AABR07001512.2
ENSRNOG00000028767,AABR07001926.1
ENSRNOG00000061207,AABR07001926.2
ENSRNOG00000015707,AABR07002241.1
ENSRNOG00000055470,AABR07002241.2
ENSRNOG00000041209,AABR07002262.1
ENSRNOG00000038674,AABR07002351.1
ENSRNOG00000036304,AABR07002353.1
ENSRNOG00000022227,AABR07002564.1
ENSRNOG00000059109,AABR07002564.2
ENSRNOG00000038251,AABR07002623.1
ENSRNOG00000034000,AABR07002659.1
ENSRNOG00000029745,AABR07002677.1
ENSRNOG00000061537,AABR07002677.2
ENSRNOG00000041518,AABR07002711.1
ENSRNOG00000031073,AABR07002835.1
ENSRNOG00000062008,AABR07002835.2
ENSRNOG00000037415,AABR07002938.1
ENSRNOG00000037364,AABR07003049.1
ENSRNOG00000037348,AABR07003187.1
ENSRNOG00000032170,AABR07003250.1
ENSRNOG00000022680,AABR07003291.1
ENSRNOG00000059260,AABR07003291.2
ENSRNOG00000036300,AABR07003344.1
ENSRNOG00000037133,AABR07003433.1
ENSRNOG00000021484,AABR07003537.1
ENSRNOG00000058870,AABR07003537.2
ENSRNOG00000038697,AABR07003616.1
ENSRNOG00000016498,AABR07004112.1
ENSRNOG00000055929,AABR07004112.2
ENSRNOG00000032310,AABR07004183.1
ENSRNOG00000041447,AABR07004269.1
ENSRNOG00000030679,AABR07004397.1
ENSRNOG00000061872,AABR07004397.2
ENSRNOG00000041552,AABR07004497.1
ENSRNOG00000013711,AABR07004681.1
ENSRNOG00000054346,AABR07004681.2
ENSRNOG00000036296,AABR07004746.1
ENSRNOG00000010769,AABR07004799.1
ENSRNOG00000052710,AABR07004799.2
ENSRNOG00000041624,AABR07004833.1
ENSRNOG00000018083,AABR07004876.1
ENSRNOG00000056859,AABR07004876.2
ENSRNOG00000033196,AABR07004891.1
ENSRNOG00000028974,AABR07004894.1
ENSRNOG00000061271,AABR07004894.2
ENSRNOG00000021946,AABR07004945.1
ENSRNOG00000059036,AABR07004945.2
ENSRNOG00000042292,AABR07004993.1
ENSRNOG00000041603,AABR07004996.1
ENSRNOG00000036293,AABR07005031.1
ENSRNOG00000041637,AABR07005447.1
ENSRNOG00000025122,AABR07005506.1
ENSRNOG00000060047,AABR07005506.2
ENSRNOG00000020477,AABR07005533.1
ENSRNOG00000058284,AABR07005533.2
ENSRNOG00000030807,AABR07005549.1
ENSRNOG00000061917,AABR07005549.2
ENSRNOG00000024217,AABR07005667.1
ENSRNOG00000059745,AABR07005667.2
ENSRNOG00000020446,AABR07005838.1
ENSRNOG00000058267,AABR07005838.2
ENSRNOG00000034038,AABR07005844.1
ENSRNOG00000028955,AABR07006042.1
ENSRNOG00000061266,AABR07006042.2
ENSRNOG00000016597,AABR07006081.1
ENSRNOG00000055989,AABR07006081.2
ENSRNOG00000020409,AABR07006111.1
ENSRNOG00000058241,AABR07006111.2
ENSRNOG00000017884,AABR07006160.1
